date,cases,country
16-06-20,43,China
15-06-20,47,China
14-06-20,60,China
13-06-20,12,China
12-06-20,7,China
11-06-20,11,China
10-06-20,4,China
09-06-20,3,China
08-06-20,5,China
07-06-20,9,China
06-06-20,6,China
05-06-20,11,China
04-06-20,1,China
03-06-20,5,China
02-06-20,7,China
01-06-20,19,China
31-05-20,5,China
30-05-20,17,China
29-05-20,0,China
28-05-20,3,China
27-05-20,1,China
26-05-20,7,China
25-05-20,11,China
24-05-20,3,China
23-05-20,2,China
22-05-20,12,China
21-05-20,2,China
20-05-20,2,China
19-05-20,9,China
18-05-20,10,China
17-05-20,6,China
16-05-20,9,China
15-05-20,5,China
14-05-20,6,China
13-05-20,7,China
12-05-20,1,China
11-05-20,19,China
10-05-20,15,China
09-05-20,0,China
08-05-20,6,China
07-05-20,2,China
06-05-20,2,China
05-05-20,2,China
04-05-20,3,China
03-05-20,2,China
02-05-20,3,China
01-05-20,12,China
30-04-20,4,China
29-04-20,2,China
28-04-20,26,China
27-04-20,3,China
26-04-20,10,China
25-04-20,15,China
24-04-20,8,China
23-04-20,12,China
22-04-20,15,China
21-04-20,32,China
20-04-20,14,China
19-04-20,18,China
18-04-20,31,China
17-04-20,352,China
16-04-20,50,China
15-04-20,49,China
14-04-20,94,China
13-04-20,112,China
12-04-20,93,China
11-04-20,79,China
10-04-20,55,China
09-04-20,86,China
08-04-20,86,China
07-04-20,56,China
06-04-20,67,China
05-04-20,48,China
04-04-20,62,China
03-04-20,70,China
02-04-20,100,China
01-04-20,54,China
31-03-20,84,China
30-03-20,98,China
29-03-20,113,China
28-03-20,119,China
27-03-20,94,China
26-03-20,102,China
25-03-20,78,China
24-03-20,69,China
23-03-20,138,China
22-03-20,65,China
21-03-20,52,China
20-03-20,99,China
19-03-20,44,China
18-03-20,23,China
17-03-20,43,China
16-03-20,25,China
15-03-20,22,China
14-03-20,19,China
13-03-20,22,China
12-03-20,24,China
11-03-20,29,China
10-03-20,20,China
09-03-20,45,China
08-03-20,46,China
07-03-20,101,China
06-03-20,170,China
05-03-20,117,China
04-03-20,119,China
03-03-20,127,China
02-03-20,205,China
01-03-20,574,China
29-02-20,428,China
28-02-20,329,China
27-02-20,439,China
26-02-20,410,China
25-02-20,515,China
24-02-20,218,China
23-02-20,647,China
22-02-20,826,China
21-02-20,891,China
20-02-20,394,China
19-02-20,1750,China
18-02-20,1890,China
17-02-20,2052,China
16-02-20,2007,China
15-02-20,2538,China
14-02-20,4156,China
13-02-20,15141,China
12-02-20,2028,China
11-02-20,2490,China
10-02-20,2974,China
09-02-20,2607,China
08-02-20,3418,China
07-02-20,3160,China
06-02-20,3727,China
05-02-20,3872,China
04-02-20,3237,China
03-02-20,2812,China
02-02-20,2590,China
01-02-20,2095,China
31-01-20,1980,China
30-01-20,1740,China
29-01-20,1466,China
28-01-20,1753,China
27-01-20,787,China
26-01-20,665,China
25-01-20,441,China
24-01-20,259,China
23-01-20,97,China
22-01-20,140,China
21-01-20,151,China
20-01-20,19,China
19-01-20,136,China
18-01-20,17,China
17-01-20,4,China
16-01-20,0,China
15-01-20,0,China
14-01-20,0,China
13-01-20,0,China
12-01-20,0,China
11-01-20,0,China
10-01-20,0,China
09-01-20,0,China
08-01-20,0,China
07-01-20,0,China
06-01-20,0,China
05-01-20,15,China
04-01-20,0,China
03-01-20,17,China
02-01-20,0,China
01-01-20,0,China
31-12-19,27,China
16-06-20,10667,India
15-06-20,11502,India
14-06-20,11929,India
13-06-20,11458,India
12-06-20,10956,India
11-06-20,9996,India
10-06-20,9985,India
09-06-20,9987,India
08-06-20,9983,India
07-06-20,9971,India
06-06-20,9887,India
05-06-20,9851,India
04-06-20,9304,India
03-06-20,8909,India
02-06-20,8171,India
01-06-20,8392,India
31-05-20,8380,India
30-05-20,7964,India
29-05-20,7466,India
28-05-20,6566,India
27-05-20,6387,India
26-05-20,6535,India
25-05-20,6977,India
24-05-20,6767,India
23-05-20,6654,India
22-05-20,6088,India
21-05-20,5609,India
20-05-20,5611,India
19-05-20,4970,India
18-05-20,5242,India
17-05-20,4987,India
16-05-20,3970,India
15-05-20,3967,India
14-05-20,3722,India
13-05-20,3525,India
12-05-20,3604,India
11-05-20,4213,India
10-05-20,3277,India
09-05-20,3320,India
08-05-20,3390,India
07-05-20,3561,India
06-05-20,2958,India
05-05-20,3900,India
